Time Recorded,Total Apps,Store Entry Used,,,
12/9/2016 13:30,518,http://store.steampowered.com/search/?tags=21978&vrsupport=401,,,
,,,,,
Steam App ID,Game Name,Price,Release Date,Review Percentage,Review Count
500350,Final Fleet,14.99,8-Sep-16,83%,6
515700,Snowday,14.99,30-Nov-16,100%,2
548340,Abode,9.99,1-Dec-16,100%,27
563830,Historium VR - Relive the history of Bruges,14.99,2-Dec-16,100%,2
462520,Super Kaiju,9.99,6-Dec-16,89%,19
554680,Crazy Saloon VR,9.99,30-Nov-16,100%,3
555060,Final Goalie: Football simulator,9.99,17-Nov-16,95%,22
493290,World VR Competition,8.39,6-Dec-16,100%,5
520470,Music Inside,9.99,5-Sep-16,80%,25
538710,Dead Hungry,29.99,5-Dec-16,100%,1
525210,Nock: Hidden Arrow,9.99,29-Nov-16,90%,11
422860,Holodance,9.99,5-Apr-16,86%,38
510740,Konrad the Kitten - a virtual but real cat,9.99,5-Aug-16,100%,4
510910,Temple of the Apsara,1.99,6-Sep-16,83%,37
557730,I Hate Santa,2.99,2-Dec-16,100%,3
562320,Locked In VR,5.99,1-Dec-16,86%,15
550160,Street Champ VR,0.99,8-Dec-16,100%,1
544540,The Fastest Fist,9.99,9-Nov-16,100%,19
552230,Doomsday Survival:Training,9.99,30-Nov-16,100%,3
397750,Guided Meditation VR,14.99,3-Oct-16,88%,25
532270,Lethal VR,14.99,8-Nov-16,95%,41
539050,Super Island God VR,19.99,14-Nov-16,95%,24
433700,Carpe Lucem - Seize The Light VR,11.24,5-Apr-16,85%,20
418520,SculptrVR,19.99,4-Apr-16,100%,27
520270,Thrills & Chills - Roller Coasters,4.99,20-Sep-16,80%,25
451540,Snakes on an Extradimensional Plane,1.79,5-Dec-16,100%,3
510290,DEXED,9.99,26-Sep-16,92%,27
487770,Hoops VR,6.99,20-Jun-16,92%,26
464400,Bounce,24.99,30-Nov-16,100%,9
524120,Raptor Valley,8.99,9-Sep-16,100%,13
468740,Snow Fortress,9.99,9-Jun-16,92%,26
468170,Doll City : Prologue,14.99,4-Aug-16,100%,7
425990,Space Junk Patrol,5.99,1-Dec-16,100%,1
517970,CRANGA!: Harbor Frenzy,9.99,6-Dec-16,100%,2
480690,Inbound,12.99,5-Jul-16,86%,29
526240,CloudBound,6.99,7-Sep-16,90%,32
548860,The Torus Syndicate,14.99,22-Nov-16,92%,14
534230,Quell 4D,19.99,14-Oct-16,97%,48
551690,Counter Fight,7.99,14-Nov-16,86%,37
519940,Kubz VR,1.99,5-Sep-16,90%,10
511690,Duck Force,9.99,17-Nov-16,80%,5
486290,Waddle Home,9.99,7-Jul-16,100%,19
552060,Escape!VR -The Basement-,11.99,7-Nov-16,100%,21
536370,Percussive VR,9.99,11-Nov-16,100%,3
509170,VRNinja,9.99,14-Sep-16,100%,3
465150,Mars Odyssey,7.99,8-Sep-16,84%,33
522730,God Of Arrows VR,7.99,2-Nov-16,100%,11
535410,CapitalShip VR,7.99,17-Oct-16,100%,22
543580,Pipejob,7.99,15-Oct-16,100%,15
533910,Offroad: VR,7.99,28-Sep-16,83%,6
494310,Unbreakable Vr Runner,5.99,4-Jul-16,100%,24
495830,Endless Labyrinth,4.99,8-Aug-16,100%,4
522250,Quick Draw,4.99,19-Sep-16,94%,18
516900,Oniris Basket VR,3.99,17-Sep-16,100%,3
499400,The Path of Greatest Resistance,3.99,12-Jul-16,84%,32
493380,ChessVR,3.99,7-Jul-16,100%,2
485880,L U N E,2.99,20-Jun-16,92%,40
544410,Potioneer: The VR Gardening Simulator,0.99,20-Oct-16,100%,7
523180,Doritos VR Battle,2.99,4-Nov-16,83%,12
552270,Primitive Road,2.99,18-Nov-16,100%,1
505680,Glaive,2.99,26-Jul-16,100%,7
512240,Duckpocalypse,2.99,22-Aug-16,100%,26
525910,Cockroach VR,1.99,8-Sep-16,100%,15
529040,Fine China,0.99,21-Oct-16,100%,2
510130,Power Link VR,1.99,9-Sep-16,100%,6
535460,"A Fear Of Heights, And Other Things",0.99,17-Oct-16,100%,11
547850,Trump Simulator VR,0.99,27-Oct-16,82%,35
355230,Faceted Flight,6.99,5-Oct-16,85%,7
402800,Chunks,19.99,11-Apr-16,82%,28
444530,Light Repair Team #4,7.99,5-Apr-16,80%,26
455230,Bazaar,4.99,28-Mar-16,90%,10
457340,Dimensional,4.99,1-Jul-16,90%,21
457770,Audio Arena,6.99,25-Jul-16,93%,16
457230,Atlas Reactor VR Character Viewer,0,5-Apr-16,95%,24
459870,VIRTUAnimator,9.99,9-May-16,80%,5
463400,Spellbound,19.99,5-Sep-16,81%,16
483970,Directionless,0.99,31-May-16,86%,44
485110,PlanetFate,4.99,6-Jun-16,86%,15
466720,Vintage VR,0,2-May-16,90%,32
