Time Recorded,Total Apps,Store Entry Used,,,,,,,,,,,,
2/22/2018 11:25,1613,http://store.steampowered.com/search/?tags=21978&vrsupport=401,,,,,,,,,,,,
,,,,,,,,,,,,,,
Steam App ID,Game Name,Price,Release Date,Positive Review Percentage,Reviews Count,Developer,Publisher,Genre,Category,Tags,Peak User Yesterday,Number of Owners,Number of Players,Percentage of Actual Players in the Owners
746930,OrbusVR,39.99,15-Dec-17,85%,387,"Orbus Online, LLC","Orbus Online, LLC","Indie, Massively Multiplayer, RPG, Early Access","Online Multi-Player, MMO, Steam Achievements","Early Access (35), Massively Multiplayer (31), RPG (27), Indie (27), VR (26)",76,13362 +/- 3556,12125 +/- 3388,90.74%
586950,The Wizards,11.99,28-Jul-17,90%,72,Carbon Studio,Carbon Studio,"Action, Adventure, Early Access","Single-player, Steam Leaderboards","Early Access (36), Adventure (32), Action (32), VR (19), Fantasy (13), Action-Adventure (10), Arcade (10), VR Only (1)",6,6434 +/- 2467,3712 +/- 1874,57.69%
327140,Tilt Brush,19.99,5-Apr-16,97%,238,Google,Google,Design & Illustration,VR Support,"Design & Illustration (39), VR (29), Casual (5), Hand-drawn (5), Singleplayer (5)",74,196719 +/- 13644,161335 +/- 12356,82.01%
667970,VTOL VR,29.99,3-Aug-17,96%,322,"Boundless Dynamics, LLC","Boundless Dynamics, LLC","Action, Indie, Simulation, Early Access",Single-player,"Early Access (31), Simulation (28), Action (24), Indie (22), VR (13), Flight (8), VR Only (1)",11,5691 +/- 2321,5444 +/- 2270,95.66%
486780,Fruit Ninja VR,14.99,15-Dec-16,89%,400,Halfbrick Studios Pty Ltd,Halfbrick Studios Pty Ltd,"Action, Casual, Simulation, Sports","Single-player, Steam Achievements, Stats, Steam Leaderboards","Casual (24), Action (23), Simulation (23), Sports (23), VR (19)",14,61119 +/- 7606,56913 +/- 7340,93.12%
342180,Arizona Sunshine,39.99,6-Dec-16,87%,2,"Vertigo Games, Jaywalkers Interactive",Vertigo Games,"Violent, Gore, Action, Adventure, Indie","Single-player, Multi-player, Online Multi-Player, Online Co-op, Steam Achievements, Steam Trading Cards, VR Support, SteamVR Collectibles, Steam Cloud, Steam Leaderboards","Zombies (83), VR (71), Action (58), Horror (53), Adventure (52), Multiplayer (50), Gore (49), Indie (46), FPS (42), Violent (37), Survival (36), Survival Horror (34), Open World (25), Shooter (24), First-Person (24), Funny (9), Co-op (8), VR Only (1)",188,121496 +/- 10723,114073 +/- 10391,93.89%
412740,Audioshield,19.99,5-Apr-16,90%,2,Dylan Fitterer,Dylan Fitterer,Indie,"Single-player, VR Support, SteamVR Collectibles","Indie (37), VR (31), Music (26), Music-Based Procedural Generation (19), Rhythm (17), VR Only (1)",49,137827 +/- 11421,116300 +/- 10491,84.38%
587430,I Expect You To Die,24.99,25-Apr-17,92%,341,Schell Games,Schell Games,Indie,"Single-player, Steam Achievements, Steam Trading Cards","Indie (25), VR (19), Puzzle (12)",23,34642 +/- 5726,26477 +/- 5006,76.43%
555160,Pavlov VR,9.99,27-Feb-17,87%,1,davevillz,davevillz,"Violent, Gore, Action, Indie, Early Access",Online Multi-Player,"Early Access (33), VR (30), Action (30), Violent (26), Indie (24), Gore (23), FPS (17), Multiplayer (17), Shooter (9)",77,68048 +/- 8025,60624 +/- 7575,89.09%
678520,Gal*Gun VR,29.99,9-Aug-17,95%,193,"INTI CREATES CO., LTD.","INTI CREATES CO., LTD.","Action, Adventure, Indie, Simulation","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud","Sexual Content (38), Anime (35), VR (33), Action (29), Simulation (26), Indie (24), Adventure (22), Nudity (20), Psychological Horror (16), VR Only (1)",4,13610 +/- 3589,12372 +/- 3422,90.90%
503580,Duck Season,19.99,14-Sep-17,86%,326,Stress Level Zero,Stress Level Zero,"Action, Adventure, Casual, Indie","Single-player, Steam Achievements, Steam Trading Cards, SteamVR Collectibles","Action (37), Horror (34), Indie (33), Adventure (32), VR (31), Casual (29), Psychological Horror (26)",10,19796 +/- 4329,16579 +/- 3961,83.75%
489600,The Golf Club VR,29.99,24-Feb-17,85%,219,HB Studios,HB Studios,"Indie, Simulation, Sports",Single-player,"Sports (24), Simulation (23), Indie (20), VR (11), Golf (5)",10,11630 +/- 3318,10888 +/- 3210,93.62%
